Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
1140.5,0.21,-0.87,1.09,-0.46,0.83,-1.04,0.56,-0.22,1.42,-0.61,0.68,-0.95,0.74,-0.88,1.15,-1.02,0.89,-0.37,0.92,-0.71,0.57,-0.6,1.18,-0.33,0.81,-0.85,0.61,-0.99,8.6,0
1225.7,-0.72,1.03,-0.41,0.66,-1.07,0.78,-0.57,0.92,-0.28,1.07,-0.66,0.99,-0.75,0.87,-1.2,0.53,-0.89,1.12,-0.32,0.65,-0.78,1.04,-0.44,0.68,-0.96,0.7,-0.71,1.1,980.0,0
1300.2,0.95,-0.41,0.77,-1.18,0.62,-0.86,1.03,-0.34,0.64,-0.79,1.12,-0.58,0.91,-0.6,1.26,-0.87,0.78,-1.02,0.53,0.96,-0.57,0.98,-0.27,1.04,-0.45,0.66,-0.79,1.07,5.6,0
1400.0,-0.28,0.79,-0.71,1.13,-0.59,0.94,-0.42,1.11,-0.63,0.81,-0.54,1.28,-0.68,0.97,-0.85,1.02,-0.96,0.63,-0.41,1.08,-0.55,0.92,-0.36,1.15,-0.51,0.75,-0.83,1.09,19.99,0
1500.0,0.16,-0.73,1.04,-0.54,0.79,-1.16,0.67,-0.28,1.31,-0.71,0.52,-0.92,0.89,-0.66,1.14,-1.07,0.83,-0.45,0.97,-0.83,0.61,-0.54,1.22,-0.37,0.74,-0.88,0.66,-0.99,44.6,0
1620.5,-0.51,1.11,-0.34,0.72,-0.92,0.86,-0.37,1.04,-0.44,0.98,-0.58,1.28,-0.52,0.91,-1.04,0.67,-0.87,1.05,-0.29,0.84,-0.66,1.14,-0.42,0.79,-1.01,0.63,-0.72,1.13,6.2,0
0.0,0.12,-0.34,0.56,-1.23,0.89,-0.45,1.12,-0.78,0.34,-0.56,0.95,-1.11,0.66,-0.22,0.48,-0.33,0.77,-0.99,0.21,-0.44,0.58,-0.72,0.39,-0.15,0.62,-0.41,0.29,-0.53,42.75,0
180.0,0.22,-0.41,0.61,-1.05,0.92,-0.4,1.05,-0.7,0.29,-0.5,0.88,-1.02,0.54,-0.19,0.44,-0.29,0.69,-0.92,0.18,-0.4,0.51,-0.66,0.35,-0.12,0.58,-0.38,0.25,-0.49,12.4,0
360.0,-0.34,0.58,-0.67,0.95,-0.73,0.41,-1.04,0.68,-0.29,0.57,-0.84,0.99,-0.52,0.21,-0.46,0.31,-0.7,0.88,-0.17,0.36,-0.5,0.64,-0.34,0.14,-0.59,0.37,-0.27,0.49,230.15,0
540.0,0.55,-0.62,0.72,-0.89,0.68,-0.54,1.2,-0.83,0.41,-0.72,0.97,-1.18,0.6,-0.25,0.5,-0.33,0.81,-0.95,0.24,-0.46,0.63,-0.69,0.42,-0.16,0.67,-0.42,0.3,-0.56,7.99,0
720.0,-0.21,0.46,-0.58,0.75,-0.61,0.49,-1.12,0.6,-0.35,0.63,-0.9,1.05,-0.57,0.19,-0.42,0.28,-0.65,0.82,-0.22,0.34,-0.54,0.61,-0.38,0.16,-0.55,0.4,-0.28,0.5,5.4,0
900.0,0.11,-0.35,0.49,-0.76,0.77,-0.52,1.08,-0.69,0.32,-0.58,0.9,-1.01,0.58,-0.23,0.46,-0.3,0.72,-0.88,0.2,-0.45,0.56,-0.64,0.39,-0.13,0.6,-0.39,0.27,-0.51,120.5,0
1080.0,-0.29,0.5,-0.63,0.88,-0.7,0.43,-1.09,0.65,-0.31,0.58,-0.87,1.02,-0.53,0.2,-0.44,0.29,-0.68,0.86,-0.19,0.37,-0.52,0.62,-0.36,0.15,-0.57,0.41,-0.29,0.52,9.99,0
1260.0,0.36,-0.39,0.69,-0.95,0.62,-0.5,1.15,-0.77,0.4,-0.65,0.93,-1.12,0.57,-0.21,0.48,-0.34,0.79,-0.91,0.23,-0.43,0.59,-0.68,0.41,-0.14,0.66,-0.4,0.28,-0.55,65.0,0
1440.0,-0.45,0.61,-0.7,0.92,-0.74,0.46,-1.18,0.72,-0.28,0.6,-0.91,1.04,-0.55,0.18,-0.4,0.27,-0.63,0.83,-0.21,0.35,-0.51,0.59,-0.37,0.13,-0.56,0.42,-0.3,0.49,3.21,0
1620.0,0.19,-0.42,0.6,-0.98,0.85,-0.46,1.1,-0.75,0.37,-0.6,0.92,-1.07,0.59,-0.25,0.45,-0.32,0.76,-0.94,0.22,-0.42,0.57,-0.62,0.38,-0.16,0.61,-0.37,0.26,-0.5,2500.0,1
1800.0,-0.31,0.55,-0.66,0.89,-0.68,0.48,-1.07,0.66,-0.34,0.6,-0.89,1.0,-0.54,0.19,-0.41,0.28,-0.66,0.85,-0.22,0.34,-0.5,0.63,-0.39,0.14,-0.58,0.39,-0.28,0.52,9.99,0
1980.0,0.27,-0.34,0.66,-0.88,0.7,-0.54,1.16,-0.8,0.38,-0.63,0.95,-1.15,0.62,-0.24,0.46,-0.31,0.72,-0.9,0.21,-0.43,0.58,-0.64,0.37,-0.15,0.64,-0.41,0.29,-0.53,15.2,0
2160.0,-0.18,0.49,-0.57,0.77,-0.6,0.52,-1.11,0.63,-0.3,0.62,-0.85,0.98,-0.56,0.19,-0.43,0.3,-0.67,0.83,-0.23,0.37,-0.52,0.61,-0.35,0.14,-0.58,0.41,-0.27,0.5,350.6,0
2340.0,0.42,-0.38,0.71,-0.94,0.66,-0.52,1.19,-0.81,0.4,-0.7,0.97,-1.16,0.59,-0.23,0.5,-0.32,0.79,-0.92,0.24,-0.44,0.6,-0.68,0.41,-0.15,0.63,-0.39,0.28,-0.54,9.99,0
2520.0,-0.33,0.58,-0.68,0.9,-0.72,0.45,-1.07,0.66,-0.32,0.59,-0.88,1.01,-0.55,0.18,-0.41,0.29,-0.66,0.84,-0.21,0.35,-0.51,0.6,-0.37,0.12,-0.57,0.4,-0.28,0.49,0.99,0
2700.0,0.5,-0.6,0.75,-0.92,0.7,-0.56,1.22,-0.85,0.42,-0.72,0.99,-1.2,0.63,-0.24,0.52,-0.33,0.81,-0.95,0.25,-0.46,0.62,-0.7,0.43,-0.17,0.66,-0.41,0.3,-0.55,73.25,0
2880.0,-0.28,0.57,-0.65,0.89,-0.69,0.46,-1.1,0.65,-0.31,0.6,-0.87,1.01,-0.53,0.2,-0.42,0.29,-0.68,0.88,-0.2,0.36,-0.53,0.61,-0.35,0.15,-0.59,0.42,-0.28,0.5,8.5,0
3060.0,0.33,-0.39,0.68,-0.93,0.64,-0.51,1.18,-0.8,0.4,-0.66,0.96,-1.14,0.58,-0.22,0.5,-0.31,0.77,-0.87,0.23,-0.45,0.6,-0.66,0.39,-0.14,0.63,-0.4,0.29,-0.55,0.99,0
3240.0,-0.27,0.5,-0.62,0.88,-0.66,0.46,-1.07,0.6,-0.3,0.62,-0.88,1.02,-0.54,0.19,-0.41,0.28,-0.68,0.86,-0.2,0.36,-0.52,0.6,-0.36,0.14,-0.57,0.41,-0.29,0.5,24.6,0
3420.0,0.45,-0.37,0.7,-0.92,0.65,-0.54,1.21,-0.82,0.39,-0.69,0.98,-1.14,0.6,-0.23,0.51,-0.32,0.78,-0.9,0.25,-0.46,0.59,-0.66,0.41,-0.16,0.64,-0.39,0.28,-0.55,15.75,0
3600.0,-0.22,0.47,-0.59,0.8,-0.61,0.5,-1.13,0.63,-0.32,0.6,-0.84,0.99,-0.55,0.18,-0.41,0.29,-0.66,0.83,-0.21,0.38,-0.54,0.6,-0.37,0.14,-0.58,0.4,-0.29,0.51,0.5,0
3780.0,0.28,-0.42,0.63,-0.97,0.71,-0.55,1.15,-0.83,0.37,-0.66,0.92,-1.15,0.56,-0.24,0.49,-0.33,0.75,-0.92,0.23,-0.46,0.6,-0.68,0.39,-0.14,0.63,-0.41,0.29,-0.54,8.75,0
0.0,1.2,-0.5,0.3,-1.1,0.9,-0.2,0.4,-0.7,0.1,-0.3,0.6,-1.4,0.2,0.8,-0.6,0.5,-0.9,0.7,-0.4,0.3,-0.1,0.9,-0.2,0.4,-0.7,0.6,-0.3,0.2,42.75,0
8640.0,-0.8,1.3,-0.4,0.9,-1.2,0.5,-0.6,1.0,-0.9,0.7,-0.5,1.2,-0.3,0.4,-0.1,0.9,-0.7,0.2,-1.0,0.6,-0.4,0.5,-0.8,1.1,-0.2,0.3,-0.5,0.7,128.4,0
17280.0,0.5,-0.2,0.9,-0.3,0.4,-0.6,0.2,-0.1,0.8,-0.9,0.3,-0.4,0.6,-0.7,0.1,-0.5,0.9,-0.2,0.4,-0.3,0.7,-0.6,0.5,-0.8,0.2,-0.4,0.9,-0.1,512.1,0
25920.0,-1.1,0.7,-0.8,1.0,-0.5,0.3,-0.9,0.6,-0.4,0.2,-0.7,0.9,-0.2,0.4,-0.6,1.1,-0.3,0.5,-0.8,0.7,-0.1,0.4,-0.5,0.9,-0.3,0.6,-0.7,0.2,19.99,0
34560.0,0.9,-0.4,1.1,-0.6,0.2,-0.8,0.5,-1.0,0.3,0.6,-0.2,0.1,-0.5,0.7,-0.9,0.4,-0.3,0.8,-0.6,0.2,-0.7,0.9,-0.4,0.3,-0.1,0.5,-0.8,0.6,204.5,0
43200.0,-0.3,0.8,-1.0,0.5,-0.2,0.7,-0.4,0.9,-0.5,0.3,0.1,-0.6,0.8,-0.1,0.4,-0.7,0.6,-0.3,0.5,-0.8,0.2,-0.9,0.7,-0.4,0.1,-0.5,0.9,-0.2,7.65,0
51840.0,-0.6,-0.9,0.4,0.8,-0.3,0.1,-0.7,0.5,-0.2,0.9,-0.6,0.4,-0.1,0.6,-0.5,0.2,-0.8,0.7,-0.4,0.3,-0.9,0.5,-0.2,0.8,-0.6,0.1,-0.3,0.9,58.2,0
60480.0,0.3,-0.2,0.6,-0.4,0.5,-0.1,0.8,-0.7,0.2,-0.5,0.9,-0.3,0.4,-0.8,0.7,-0.2,0.1,-0.6,0.5,-0.3,0.4,-0.1,0.6,-0.5,0.9,-0.2,0.3,-0.7,350.0,0
69120.0,-0.4,0.9,-0.6,0.3,-0.8,0.4,-0.1,0.6,-0.9,0.5,-0.4,0.7,-0.2,0.1,-0.5,0.9,-0.3,0.2,-0.7,0.4,-0.6,0.8,-0.3,0.5,-0.1,0.7,-0.2,0.3,9.99,0
77760.0,0.6,-0.7,0.2,-0.9,0.8,-0.4,0.3,-0.5,0.1,-0.8,0.7,-0.2,0.5,-0.3,0.9,-0.1,0.4,-0.6,0.2,-0.4,0.3,-0.7,0.6,-0.2,0.8,-0.5,0.1,-0.9,1200.0,0
86400.0,-0.7,0.4,-0.2,0.9,-0.1,0.6,-0.3,0.5,-0.4,0.7,-0.6,0.2,-0.5,0.1,0.4,-0.8,0.3,-0.2,0.9,-0.3,0.5,-0.1,0.6,-0.4,0.2,-0.7,0.9,-0.2,65.0,0
95040.0,0.2,-0.5,0.7,-0.2,0.9,-0.3,0.4,-0.6,0.8,-0.1,0.5,-0.4,0.3,-0.7,0.6,-0.2,0.1,-0.5,0.4,-0.8,0.7,-0.3,0.2,-0.6,0.9,-0.4,0.5,-0.1,240.0,0
103680.0,-0.1,0.6,-0.5,0.3,-0.9,0.2,0.7,-0.4,0.1,-0.6,0.8,-0.3,0.5,-0.2,0.9,-0.7,0.4,-0.1,0.2,-0.5,0.6,-0.3,0.7,-0.4,0.1,-0.2,0.5,-0.8,9.5,0
110400.0,0.8,-0.3,0.4,-0.6,0.2,-0.9,0.7,-0.2,0.5,-0.4,0.9,-0.1,0.6,-0.5,0.3,-0.8,0.1,0.4,-0.7,0.2,-0.6,0.5,-0.2,0.7,-0.4,0.9,-0.3,0.1,89.99,0
117120.0,-0.9,0.1,-0.4,0.8,-0.2,0.5,-0.6,0.9,-0.3,0.2,-0.7,0.4,-0.1,0.6,-0.5,0.3,-0.8,0.7,-0.4,0.1,-0.6,0.8,-0.2,0.5,-0.3,0.7,-0.1,0.4,15.75,0
124320.0,0.4,-0.6,0.8,-0.4,0.7,-0.2,0.5,-0.3,0.6,-0.9,0.2,-0.5,0.9,-0.2,0.1,-0.7,0.4,-0.1,0.3,-0.5,0.6,-0.4,0.8,-0.3,0.5,-0.6,0.2,-0.9,300.0,0
131040.0,-0.2,0.9,-0.7,0.2,-0.4,0.6,-0.1,0.3,-0.5,0.8,-0.2,0.4,-0.6,0.7,-0.3,0.5,-0.9,0.1,0.2,-0.7,0.4,-0.1,0.6,-0.5,0.9,-0.2,0.3,-0.4,75.2,0
138000.0,0.7,-0.3,0.5,-0.2,0.6,-0.4,0.1,-0.6,0.9,-0.1,0.4,-0.7,0.3,-0.5,0.2,0.8,-0.2,0.6,-0.3,0.4,-0.5,0.7,-0.4,0.1,-0.8,0.5,-0.6,0.9,420.1,0
144000.0,-0.5,0.4,-0.9,0.7,-0.1,0.3,-0.8,0.2,0.6,-0.4,0.5,-0.2,0.9,-0.3,0.4,-0.7,0.1,0.5,-0.6,0.2,-0.4,0.8,-0.2,0.3,-0.5,0.6,-0.1,0.9,9.99,0
151200.0,0.1,-0.8,0.3,-0.5,0.9,-0.2,0.6,-0.4,0.7,-0.3,0.5,-0.6,0.4,-0.1,0.2,0.9,-0.7,0.3,-0.4,0.6,-0.2,0.1,-0.5,0.8,-0.3,0.4,-0.6,0.7,102.3,0
158400.0,-0.3,0.7,-0.4,0.9,-0.6,0.2,-0.5,0.4,-0.1,0.6,-0.7,0.3,-0.2,0.5,-0.4,0.8,-0.3,0.1,0.7,-0.5,0.9,-0.2,0.4,-0.6,0.2,-0.4,0.5,-0.9,15.0,0
165600.0,0.5,-0.5,0.9,-0.3,0.1,-0.7,0.3,-0.2,0.5,-0.6,0.4,-0.4,0.7,-0.1,0.6,-0.8,0.2,0.9,-0.3,0.4,-0.5,0.1,-0.7,0.8,-0.2,0.3,-0.6,0.5,6.49,0
172800.0,-0.2,0.4,-0.5,0.7,-0.3,0.6,-0.1,0.3,-0.4,0.8,-0.2,0.5,-0.6,0.9,-0.3,0.1,-0.7,0.4,-0.2,0.5,-0.4,0.7,-0.1,0.6,-0.5,0.9,-0.3,0.2,0.99,0
5.12,0.23,-0.76,0.12,-1.45,0.88,-0.33,1.02,-0.67,0.45,-0.12,0.89,-0.54,0.31,-0.88,1.22,-0.44,0.67,-0.23,0.09,-0.51,0.34,-0.76,0.58,-0.31,1.05,-0.62,0.28,-0.94,42.75,0
12.4,-0.15,0.54,-0.67,0.21,-0.32,0.98,-0.44,0.76,-0.51,0.33,-0.89,0.47,-0.12,0.66,-0.23,0.84,-0.55,0.31,-0.29,0.72,-0.48,0.19,-0.61,0.45,-0.33,0.91,-0.27,0.58,128.4,0
33.88,0.12,-0.44,0.34,-0.78,0.25,-0.56,0.71,-0.32,0.59,-0.14,0.22,-0.68,0.31,-0.91,0.44,-0.27,0.63,-0.39,0.15,-0.72,0.28,-0.5,0.61,-0.26,0.75,-0.49,0.38,-0.63,5.2,0
75.1,-0.81,0.62,-0.29,0.94,-0.12,0.57,-0.68,0.21,-0.35,0.48,-0.77,0.33,-0.53,0.27,-0.41,0.62,-0.3,0.84,-0.15,0.27,-0.64,0.33,-0.79,0.51,-0.22,0.66,-0.41,0.72,210.0,0
120.5,0.34,-0.12,0.58,-0.45,0.11,-0.27,0.95,-0.66,0.74,-0.39,0.28,-0.51,0.65,-0.23,0.18,-0.74,0.42,-0.12,0.59,-0.36,0.22,-0.83,0.31,-0.54,0.49,-0.21,0.73,-0.46,8.5,0
199.99,-0.29,0.63,-0.11,0.77,-0.46,0.24,-0.58,0.92,-0.33,0.57,-0.68,0.41,-0.27,0.54,-0.18,0.33,-0.46,0.25,-0.39,0.71,-0.22,0.59,-0.35,0.48,-0.61,0.4,-0.28,0.66,1200.0,0
230.2,0.21,-0.31,0.49,-0.69,0.14,-0.45,0.63,-0.27,0.52,-0.18,0.77,-0.36,0.19,-0.61,0.29,-0.83,0.41,-0.29,0.64,-0.42,0.18,-0.58,0.26,-0.47,0.72,-0.33,0.57,-0.21,76.8,0
256.75,-0.44,0.11,-0.63,0.25,-0.75,0.47,-0.31,0.84,-0.25,0.69,-0.53,0.32,-0.6,0.27,-0.42,0.51,-0.37,0.29,-0.41,0.73,-0.28,0.63,-0.39,0.56,-0.31,0.67,-0.22,0.49,15.0,0
300.0,0.87,-0.54,0.26,-0.11,0.71,-0.33,0.48,-0.62,0.34,-0.79,0.51,-0.23,0.68,-0.45,0.29,-0.11,0.75,-0.32,0.41,-0.58,0.26,-0.69,0.57,-0.44,0.33,-0.21,0.62,-0.37,95.6,0
420.7,-0.25,0.48,-0.19,0.69,-0.14,0.33,-0.77,0.26,-0.51,0.4,-0.62,0.29,-0.33,0.71,-0.25,0.46,-0.58,0.23,-0.36,0.58,-0.29,0.75,-0.41,0.37,-0.52,0.28,-0.4,0.65,310.0,0
500.0,0.15,-0.27,0.62,-0.19,0.33,-0.44,0.21,-0.33,0.57,-0.49,0.39,-0.58,0.21,-0.72,0.46,-0.31,0.28,-0.64,0.51,-0.28,0.43,-0.37,0.69,-0.15,0.58,-0.42,0.31,-0.27,48.9,0
600.3,-0.64,0.29,-0.52,0.41,-0.31,0.7,-0.25,0.61,-0.13,0.84,-0.42,0.23,-0.49,0.37,-0.33,0.71,-0.26,0.58,-0.47,0.29,-0.61,0.44,-0.52,0.33,-0.46,0.57,-0.19,0.66,0.9,0
720.9,0.44,-0.58,0.31,-0.46,0.29,-0.49,0.72,-0.33,0.61,-0.23,0.39,-0.61,0.28,-0.74,0.53,-0.41,0.26,-0.18,0.44,-0.6,0.31,-0.47,0.69,-0.31,0.52,-0.29,0.8,-0.22,60.0,0
900.0,-0.36,0.25,-0.41,0.72,-0.19,0.58,-0.31,0.77,-0.27,0.66,-0.48,0.34,-0.54,0.28,-0.36,0.69,-0.21,0.52,-0.45,0.37,-0.62,0.26,-0.58,0.41,-0.47,0.63,-0.2,0.57,9.99,0
1000.2,0.67,-0.12,0.41,-0.23,0.52,-0.35,0.19,-0.48,0.71,-0.31,0.28,-0.71,0.39,-0.5,0.26,-0.6,0.44,-0.29,0.53,-0.27,0.61,-0.33,0.69,-0.4,0.35,-0.51,0.47,-0.28,250.0,0
1200.0,-0.14,0.46,-0.37,0.23,-0.25,0.91,-0.44,0.32,-0.49,0.54,-0.66,0.27,-0.31,0.63,-0.28,0.74,-0.35,0.29,-0.41,0.65,-0.24,0.55,-0.38,0.47,-0.59,0.36,-0.21,0.68,15.75,0
1440.5,0.28,-0.49,0.16,-0.68,0.23,-0.41,0.65,-0.34,0.52,-0.21,0.39,-0.63,0.28,-0.72,0.44,-0.5,0.27,-0.59,0.61,-0.37,0.33,-0.48,0.66,-0.29,0.54,-0.36,0.39,-0.24,72.3,0
1600.0,-0.59,0.33,-0.28,0.6,-0.42,0.54,-0.29,0.81,-0.35,0.7,-0.52,0.31,-0.57,0.26,-0.43,0.66,-0.22,0.47,-0.48,0.54,-0.31,0.64,-0.4,0.52,-0.28,0.7,-0.19,0.61,0.5,0
172800.0,0.29,-0.37,0.62,-0.24,0.18,-0.51,0.33,-0.62,0.45,-0.29,0.51,-0.43,0.27,-0.61,0.36,-0.41,0.54,-0.29,0.62,-0.24,0.49,-0.37,0.58,-0.19,0.73,-0.32,0.41,-0.27,15.6,0
12.5,0.12,-0.34,0.56,-1.23,0.05,-0.88,1.34,-0.76,0.22,-0.11,0.99,-1.45,0.66,-0.33,0.77,-0.54,0.23,-0.98,0.15,-0.41,0.62,-0.77,0.34,-0.29,0.81,-0.46,0.57,-0.62,42.75,0
32.1,-0.45,0.92,-0.76,0.34,-0.12,0.58,-1.12,0.44,-0.33,0.77,-0.89,1.21,-0.54,0.29,-0.67,0.88,-0.23,0.66,-0.15,0.51,-0.72,0.39,-1.04,0.27,-0.58,0.43,-0.91,0.66,128.4,0
67.9,0.33,-0.28,0.44,-0.59,0.17,-0.44,0.99,-0.77,0.21,0.66,-0.35,1.05,-0.68,0.14,-0.52,0.73,-0.31,0.58,-0.24,0.45,-0.86,0.29,-0.97,0.39,-0.47,0.54,-0.81,0.62,210.0,0
150.0,-0.12,0.34,-0.56,0.78,-0.09,0.67,-0.44,0.88,-0.31,0.55,-0.92,0.76,-0.46,0.21,-0.73,0.49,-0.28,0.66,-0.41,0.31,-0.75,0.52,-0.68,0.14,-0.53,0.61,-0.9,0.47,5.2,0
231.4,0.05,-0.21,0.32,-0.43,0.11,-0.35,0.77,-0.66,0.28,-0.14,0.58,-0.77,0.49,-0.2,0.66,-0.41,0.27,-0.58,0.32,-0.44,0.91,-0.29,0.64,-0.35,0.52,-0.63,0.79,-0.52,87.0,0
298.2,-0.34,0.71,-0.29,0.88,-0.14,0.92,-0.87,0.45,-0.26,0.63,-0.71,1.12,-0.59,0.17,-0.45,0.82,-0.34,0.51,-0.29,0.68,-0.64,0.39,-1.02,0.28,-0.71,0.46,-0.88,0.73,342.15,0
360.0,0.21,-0.56,0.11,-0.69,0.25,-0.48,0.92,-0.31,0.54,-0.17,0.77,-0.84,0.63,-0.29,0.44,-0.61,0.19,-0.75,0.37,-0.52,0.68,-0.4,0.83,-0.27,0.59,-0.7,0.92,-0.58,16.75,0
421.7,-0.29,0.83,-0.54,0.27,-0.08,0.63,-0.96,0.38,-0.21,0.41,-0.66,0.99,-0.52,0.26,-0.75,0.57,-0.3,0.74,-0.22,0.68,-0.79,0.32,-0.85,0.29,-0.61,0.45,-0.95,0.51,2100.0,1
510.2,0.44,-0.32,0.66,-0.56,0.18,-0.49,0.81,-0.7,0.23,-0.12,0.92,-0.86,0.52,-0.28,0.61,-0.48,0.29,-0.57,0.14,-0.43,0.76,-0.36,0.49,-0.41,0.65,-0.72,0.84,-0.6,74.9,0
612.3,-0.51,0.61,-0.43,0.95,-0.16,0.71,-0.99,0.55,-0.31,0.89,-0.6,1.05,-0.53,0.18,-0.61,0.66,-0.27,0.72,-0.35,0.47,-0.88,0.41,-0.77,0.26,-0.55,0.5,-0.92,0.68,9.99,0
720.0,0.18,-0.27,0.39,-0.61,0.13,-0.44,0.82,-0.58,0.31,-0.25,0.66,-0.74,0.48,-0.21,0.55,-0.49,0.24,-0.62,0.33,-0.51,0.79,-0.37,0.56,-0.28,0.63,-0.68,0.91,-0.59,152.3,0
780.4,-0.28,0.69,-0.47,0.34,-0.11,0.58,-0.98,0.42,-0.25,0.72,-0.63,1.1,-0.57,0.19,-0.62,0.71,-0.29,0.6,-0.38,0.44,-0.85,0.31,-0.93,0.27,-0.66,0.47,-0.89,0.54,6.5,0
864.0,0.29,-0.4,0.53,-0.48,0.16,-0.52,0.87,-0.69,0.25,-0.13,0.77,-0.81,0.57,-0.25,0.62,-0.51,0.18,-0.66,0.29,-0.47,0.73,-0.39,0.66,-0.3,0.58,-0.74,0.85,-0.57,999.99,0
